id,value
id_0,5.17496039898473
id_1,18.306214253527912
id_2,20.491218094180553
id_3,11.523942869805396
id_4,26.616056752306154
id_5,20.53134808176121
id_6,21.90655101879739
id_7,31.736468747068834
id_8,13.391674055111714
id_9,64.45646650291957
id_10,20.264568836159448
id_11,15.358576077361231
id_12,68.58947276926725
id_13,48.42811374745718
id_14,18.70233382419321
id_15,10.188595737466686
id_16,30.74036285982042
id_17,71.13221776355113
id_18,-4.130517391262433
id_19,18.23569401642869
id_20,38.578922275007756
id_21,71.31151972531332
id_22,7.410348162634065
id_23,18.717955330321416
id_24,14.937250260084564
id_25,36.719736694705325
id_26,17.961697005662693
id_27,75.7894628721054
id_28,12.309310248614457
id_29,56.29535173964958
id_30,25.11316086566151
id_31,4.61024867409404
id_32,2.483770554515033
id_33,24.759422261321255
id_34,30.48028046559117
id_35,38.46393074642664
id_36,44.202310609330056
id_37,30.08683601986599
id_38,40.473675015740085
id_39,29.2264799023174
id_40,5.606456054343944
id_41,38.666016078789625
id_42,34.61021343187721
id_43,48.3896975073848
id_44,14.757247666944167
id_45,34.4668201108721
id_46,27.48310687418436
id_47,12.000879378154039
id_48,21.378036151603773
id_49,28.544403091663305
id_50,20.165513818411576
id_51,10.796678149746496
id_52,22.171035755750097
id_53,53.446263109352294
id_54,12.219581121610048
id_55,43.300968455171514
id_56,32.18233510328544
id_57,22.5672175145708
id_58,56.739514165547064
id_59,20.745052945295452
id_60,15.028854557473274
id_61,39.85530159038513
id_62,12.975340680728308
id_63,51.74165959283005
id_64,18.78336963253983
id_65,12.3487528427777
id_66,15.633623653541918
id_67,-0.058871470685005534
id_68,41.50801107307591
id_69,31.548747530656037
id_70,18.604251157547083
id_71,37.476819724880684
id_72,56.52039065762307
id_73,6.587877193521962
id_74,12.22933973743499
id_75,5.203696404134689
id_76,47.9273751038006
id_77,13.020705685594688
id_78,17.110301693903626
id_79,20.60323453100203
id_80,21.2844815607846
id_81,38.69293529051179
id_82,30.02071667572585
id_83,88.76740666723548
id_84,35.984700239668285
id_85,26.75691355347726
id_86,23.963516843564435
id_87,32.74724282808305
id_88,22.189043755319922
id_89,20.99215885362659
id_90,29.5559943166454
id_91,40.9921688665178
id_92,8.625117809911544
id_93,32.32147180887788
id_94,46.598044365367656
id_95,22.884070826723516
id_96,31.51812972825166
id_97,11.19823347976613
id_98,28.527436642529615
id_99,0.291150680089614
id_100,17.966961079539693
id_101,27.124163929470157
id_102,11.398232780652855
id_103,16.42642686567352
id_104,23.425261046922202
id_105,40.61608267056839
id_106,25.8641250265604
id_107,5.422736951672377
id_108,10.79492112225611
id_109,72.86213692992126
id_110,48.02283705948139
id_111,15.746808276902978
id_112,24.670410614177957
id_113,12.827793326536726
id_114,10.158057570240487
id_115,27.269223342020975
id_116,29.20873857793247
id_117,8.835339619930693
id_118,20.05108813712971
id_119,20.212333743764255
id_120,79.90600929870557
id_121,18.061614288263605
id_122,30.54280934130437
id_123,25.980792377728058
id_124,5.212577268164782
id_125,30.35569730585623
id_126,7.768322888914625
id_127,15.328268255393361
id_128,22.666365717697957
id_129,62.74205421109006
id_130,18.95078036798803
id_131,19.076355630838528
id_132,61.3715740916371
id_133,15.884562052629676
id_134,13.40941807770553
id_135,0.8487724836112847
id_136,7.834996717304147
id_137,57.012829011796796
id_138,25.607996751813833
id_139,4.961704729242101
id_140,36.41487903906274
id_141,28.79000672197592
id_142,49.19412096197631
id_143,40.306869855734476
id_144,13.31618059398268
id_145,27.66101187522915
id_146,17.15802752436676
id_147,49.68726256929683
id_148,23.030272291604806
id_149,39.240936524842766
id_150,13.196753889412536
id_151,5.948893701039459
id_152,25.821608976304255
id_153,8.258634214291643
id_154,19.146320517225618
id_155,43.182486526516726
id_156,6.7178435780930155
id_157,33.86961524681065
id_158,15.369937846981848
id_159,16.9390449735519
id_160,37.88533679463486
id_161,19.202484541054474
id_162,9.059504715654711
id_163,10.283399610648488
id_164,48.67244712569827
id_165,30.587716213230763
id_166,2.4774098975321657
id_167,12.811603937805952
id_168,70.32478980976465
id_169,14.84096769406704
id_170,68.86558756678859
id_171,42.74199244486631
id_172,24.00026154292017
id_173,23.42072486032142
id_174,61.672124435682335
id_175,25.49420284505919
id_176,19.004809786869057
id_177,34.88668288189682
id_178,9.402313398379718
id_179,29.520011314408038
id_180,14.573965885700474
id_181,9.125563143203584
id_182,52.81258399813188
id_183,45.03953799438963
id_184,17.45243467918329
id_185,38.4939352797143
id_186,27.03891909264383
id_187,65.58170967424583
id_188,7.037306380769607
id_189,52.714477134115725
id_190,38.2064593370498
id_191,21.16980105955787
id_192,30.247556879488393
id_193,2.7144229897163257
id_194,19.932932587640824
id_195,-3.4133323376039044
id_196,32.44599940281314
id_197,10.582973029979915
id_198,21.775225707258457
id_199,62.46529206567799
id_200,24.132943687316445
id_201,26.201239647400953
id_202,63.744477234402865
id_203,2.834297774129034
id_204,14.37924698697887
id_205,9.369850731753871
id_206,9.881166613595413
id_207,3.4949453589721333
id_208,122.60804937921779
id_209,21.083513014480587
id_210,17.532220599455115
id_211,20.18309834459703
id_212,36.393132212281856
id_213,34.9351512052907
id_214,18.830312661458617
id_215,38.344555522723326
id_216,77.91663413807039
id_217,1.795323550888222
id_218,13.445827939135777
id_219,36.13115559041213
id_220,15.150403498166288
id_221,12.941848334417926
id_222,113.12524093786392
id_223,15.224604677934366
id_224,14.824025968612105
id_225,59.26735368854045
id_226,10.583695290718467
id_227,20.993062563532217
id_228,9.789365880830385
id_229,4.7711800087059615
id_230,47.92780690481288
id_231,12.399438394751016
id_232,48.146476562644125
id_233,40.46638039656413
id_234,16.940590270332926
id_235,41.26654448941872
id_236,69.02789203372902
id_237,40.34624924412239
id_238,14.313743982871145
id_239,15.77072663421982
